iter	Passed	Remaining
447	1144	3965
448	1148	3965
449	1152	3968
450	1154	3966
451	1158	3966
452	1161	3968
453	1164	3966
454	1169	3969
455	1171	3967
456	1176	3970
457	1179	3969
458	1182	3968
459	1185	3970
460	1188	3967
461	1192	3969
462	1195	3967
463	1198	3967
464	1201	3967
465	1204	3965
466	1209	3968
467	1211	3966
468	1215	3967
469	1218	3966
470	1221	3964
471	1224	3965
472	1227	3963
473	1231	3963
474	1234	3964
475	1237	3961
476	1240	3961
477	1243	3959
478	1246	3958
479	1250	3960
480	1253	3957
481	1256	3958
482	1259	3956
483	1262	3954
484	1265	3954
485	1268	3951
486	1271	3951
487	1274	3949
488	1277	3947
489	1281	3948
490	1284	3946
491	1287	3944
492	1290	3944
493	1293	3942
494	1296	3942
495	1299	3941
496	1302	3939
497	1306	3940
498	1309	3939
499	1313	3940
500	1316	3938
501	1319	3936
502	1322	3936
503	1335	3963
504	1356	4015
505	1359	4013
506	1362	4011
507	1368	4020
508	1371	4017
509	1374	4014
510	1376	4011
511	1379	4008
512	1381	4004
513	1383	4000
514	1386	3997
515	1388	3994
516	1391	3991
517	1393	3987
518	1396	3984
519	1398	3980
520	1400	3976
521	1403	3972
522	1405	3968
523	1408	3966
524	1410	3962
525	1412	3959
526	1415	3956
527	1417	3952
528	1419	3948
529	1422	3946
530	1425	3943
531	1427	3939
532	1430	3936
533	1432	3933
534	1435	3929
535	1437	3926
536	1440	3923
537	1442	3919
538	1444	3915
539	1447	3912
540	1449	3908
541	1451	3904
542	1454	3901
543	1456	3898
544	1458	3894
545	1461	3891
546	1463	3888
547	1465	3884
548	1468	3880
549	1470	3877
550	1472	3873
551	1475	3870
552	1477	3867
553	1480	3863
554	1482	3860
555	1484	3856
556	1487	3853
557	1489	3849
558	1492	3846
559	1494	3842
560	1496	3839
561	1499	3836
562	1501	3832
563	1503	3829
564	1506	3826
565	1509	3824
566	1512	3822
567	1515	3821
568	1518	3818
569	1521	3816
570	1523	3813
571	1527	3813
572	1530	3811
573	1533	3808
574	1535	3805
575	1538	3802
576	1540	3799
577	1543	3796
578	1545	3793
579	1548	3790
580	1551	3789
581	1553	3786
582	1556	3782
583	1558	3779
584	1560	3775
585	1563	3772
586	1565	3769
587	1568	3765
588	1570	3762
589	1573	3759
590	1576	3758
591	1579	3755
592	1581	3752
593	1584	3749
594	1586	3747
595	1589	3743
596	1591	3740
597	1593	3737
598	1596	3733
599	1598	3730
600	1600	3726
601	1603	3723
602	1605	3719
603	1607	3716
604	1610	3712
605	1612	3709
606	1615	3706
607	1617	3703
608	1619	3699
609	1622	3696
610	1624	3693
611	1627	3690
612	1629	3686
613	1631	3682
614	1633	3679
615	1636	3675
616	1639	3674
617	1641	3670
618	1643	3666
619	1646	3663
620	1648	3660
621	1650	3657
622	1653	3653
623	1655	3650
624	1657	3646
625	1660	3643
626	1662	3640
627	1664	3636
628	1666	3633
629	1669	3630
630	1671	3626
631	1674	3624
632	1676	3621
633	1679	3618
634	1681	3615
635	1684	3611
636	1686	3608
637	1688	3604
638	1690	3601
639	1693	3598
640	1695	3594
641	1698	3592
642	1700	3589
643	1703	3586
644	1705	3583
645	1708	3581
646	1711	3578
647	1713	3574
648	1716	3572
649	1719	3570
650	1721	3567
651	1723	3564
652	1726	3560
653	1728	3557
654	1731	3554
655	1733	3551
656	1735	3547
657	1737	3544
658	1740	3541
659	1742	3537
660	1744	3534
661	1747	3531
662	1749	3528
663	1752	3525
664	1754	3521
665	1756	3518
666	1758	3515
667	1761	3511
668	1763	3508
669	1765	3504
670	1767	3501
671	1770	3498
672	1772	3495
673	1775	3492
674	1777	3489
675	1779	3485
676	1782	3483
677	1784	3480
678	1787	3477
679	1789	3474
680	1792	3470
681	1794	3467
682	1796	3464
683	1798	3461
684	1801	3458
685	1803	3454
686	1805	3451
687	1808	3448
688	1810	3444
689	1813	3442
690	1815	3439
691	1817	3436
692	1820	3432
693	1822	3429
694	1824	3426
695	1827	3424
696	1830	3421
697	1832	3418
698	1834	3415
699	1837	3412
700	1839	3409
701	1842	3406
702	1844	3403
703	1846	3399
704	1849	3397
705	1851	3393
706	1854	3390
707	1856	3388
708	1859	3385
709	1861	3381
710	1863	3378
711	1865	3375
712	1868	3372
713	1870	3369
714	1873	3366
715	1875	3363
716	1878	3360
717	1880	3358
718	1882	3354
719	1885	3351
720	1887	3348
721	1890	3345
722	1892	3342
723	1894	3339
724	1897	3336
725	1899	3333
726	1902	3330
727	1904	3327
728	1907	3325
729	1909	3322
730	1911	3319
731	1914	3316
732	1917	3314
733	1919	3311
734	1922	3309
735	1926	3308
736	1929	3307
737	1933	3305
738	1936	3303
739	1938	3301
740	1941	3298
741	1944	3297
742	1947	3295
743	1951	3293
744	1954	3292
745	1958	3291
746	1960	3289
747	1964	3287
748	1967	3286
749	1970	3284
750	1973	3282
751	1977	3281
752	1980	3280
753	1983	3278
754	1987	3276
755	1990	3275
756	1993	3274
757	1997	3272
758	2000	3271
759	2003	3269
760	2006	3267
761	2009	3265
762	2013	3264
763	2016	3262
